baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
2.520582200364931,MS-GRU,temporal_tail_75pct_sensors_12steps,2.3018073544059554,101,8.67953625663552,FAR-GF-RC,horizon_6
2.6796201736451533,MS-GRU,temporal_tail_75pct_sensors_12steps,2.4930841146496596,101,6.961287305944709,FAR-GF-RC,horizon_12
1.7650500885108562,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.6482068798009324,101,6.619823962531427,FAR-GF-RC,overall
1.4866367371926137,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.3810497364218304,101,7.102407611033166,FAR-GF-RC,horizon_3
1.789467961002748,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.7049214024404782,101,4.724675736295004,FAR-GF-RC,horizon_6
2.1499641444221114,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,2.0224310400665786,101,5.931871221499482,FAR-GF-RC,horizon_12
1.793739453579856,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.671613084094781,101,6.808478747643166,FAR-GF-RC,overall
1.5219584398566988,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.4098058231683892,101,7.368967098659367,FAR-GF-RC,horizon_3
1.8168096463860113,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.727011130355525,101,4.942648571308125,FAR-GF-RC,horizon_6
2.1700896632335964,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,2.038360873534372,101,6.070200320798669,FAR-GF-RC,horizon_12
1.8420483451084733,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.709902898903789,101,7.173831596526452,FAR-GF-RC,overall
1.5826999890699904,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.4578455809203015,101,7.888697100646004,FAR-GF-RC,horizon_3
1.8622159563267995,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7610755804945664,101,5.43118404117487,FAR-GF-RC,horizon_6
2.20293529779123,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,2.063607062536432,101,6.324663070880723,FAR-GF-RC,horizon_12
1.7380988077388222,MS-TCN-v2,clean_native_history,1.630689757753806,17,6.17968607462253,FAR-GF-RC,overall
1.4518826953623472,MS-TCN-v2,clean_native_history,1.356771213167144,17,6.550906798394344,FAR-GF-RC,horizon_3
1.7424142274260725,MS-TCN-v2,clean_native_history,1.6890615132347708,17,3.06199945750646,FAR-GF-RC,horizon_6
2.1520579629834535,MS-TCN-v2,clean_native_history,2.010100268790571,17,6.596369458194461,FAR-GF-RC,horizon_12
1.7539777150599232,MS-TCN-v2,iid_random_10pct,1.6423000877989566,17,6.367106394915123,FAR-GF-RC,overall
1.4758642250098108,MS-TCN-v2,iid_random_10pct,1.3714694862098267,17,7.073464959101519,FAR-GF-RC,horizon_3
1.7572134594617488,MS-TCN-v2,iid_random_10pct,1.6982343541224407,17,3.3563995894598895,FAR-GF-RC,horizon_6
2.1577751134655636,MS-TCN-v2,iid_random_10pct,2.017913972654299,17,6.481729256142741,FAR-GF-RC,horizon_12
1.793767966008773,MS-TCN-v2,iid_random_30pct,1.6756083054222717,17,6.587232174148633,FAR-GF-RC,overall
1.5336384561904997,MS-TCN-v2,iid_random_30pct,1.411550416056044,17,7.960679366225455,FAR-GF-RC,horizon_3
